Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"IC1	","SamacSys_Parts_MIC5233-3.3YM5-TR_	","SOT95P280X145-5N	","714.8mil	","579.1mil	","714.8mil	","579.1mil	","665.6mil	","616.6mil	","T	","0	","Yes	","MIC5233-3.3YM5-TR	"
"J1	","ROTR-Wireless_USB-C-BREAKOUT_SPARKFUN-CONNECTORS_USB_C_16PIN	","USB-C-BREAKOUT_SPARKFUN-CONNECTORS_USB-C-16P	","747.2mil	","201.7mil	","747.2mil	","302mil	","698mil	","302mil	","T	","0	","Yes	","ROTR-Wireless_USB-C-BREAKOUT_SPARKFUN-CONNECTORS_USB_C_16PIN	"
"PS1	","SamacSys_Parts_MIC5233-5.0YM5-TR_	","SOT95P280X145-5N	","241.9mil	","79.5mil	","241.9mil	","79.5mil	","192.7mil	","116.9mil	","T	","0	","Yes	","MIC5233-5.0YM5-TR	"
"R1	",,"0402-R	","776.6mil	","400.4mil	","776.6mil	","400.4mil	","776.6mil	","382.7mil	","T	","90	","Yes	","22	"
"R2	",,"0402-R	","716.3mil	","399.1mil	","716.3mil	","399.1mil	","716.3mil	","381.4mil	","T	","90	","Yes	","22	"
"R3	",,"0402-R	","847.8mil	","401.5mil	","847.8mil	","401.5mil	","847.8mil	","419.2mil	","T	","270	","Yes	","5.1k	"
"R4	",,"0402-R	","654.8mil	","400.2mil	","654.8mil	","400.2mil	","654.8mil	","417.9mil	","T	","270	","Yes	","5.1k	"
"S1	","SparkFun-Switches_MOMENTARY-SWITCH-SPST_-SMD-6.0X3.5MM	","TACTILE_SWITCH_SMD_6.0X3.5MM	","1248mil	","197.6mil	","1248mil	","197.6mil	","1248mil	","321.6mil	","T	","270	","Yes	","MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM	"
"S2	","SparkFun-Switches_MOMENTARY-SWITCH-SPST_-SMD-6.0X3.5MM	","TACTILE_SWITCH_SMD_6.0X3.5MM	","1060.2mil	","196.5mil	","1060.2mil	","196.5mil	","1060.2mil	","320.6mil	","T	","270	","Yes	","MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM	"
"U1	","interceptor_STM32F413RGT6_	","LQFP64-10X10MM	","921.1mil	","986.5mil	","921.1mil	","986.5mil	","1147.5mil	","838.9mil	","T	","180	","Yes	","STM32F413RGT6	"
"U2	","CM,118_TJA1042_	","NXP_SEMICONDUCTORS_TJA1042T-3-CM_118_0	","267mil	","650.8mil	","267mil	","650.8mil	","371.3mil	","575.8mil	","T	","180	","Yes	","TJA1042	"
"U3	","CM,118_TJA1042_	","NXP_SEMICONDUCTORS_TJA1042T-3-CM_118_0	","362mil	","959.5mil	","362mil	","959.5mil	","466.3mil	","884.5mil	","T	","180	","Yes	","TJA1042	"
"U4	","CM,118_TJA1042_	","NXP_SEMICONDUCTORS_TJA1042T-3-CM_118_0	","359.3mil	","1265.6mil	","359.3mil	","1265.6mil	","463.7mil	","1190.6mil	","T	","180	","Yes	","TJA1042	"
"Y1	",,"XTAL-3.2X2.5	","1256.5mil	","990.9mil	","1293.9mil	","1036.2mil	","1223.1mil	","1036.2mil	","T	","270	","Yes	","CRYSTAL-3.2X2.54-PIN	"
"R6	",,"0402-R	","160.3mil	","1333.1mil	","160.3mil	","1333.1mil	","178mil	","1333.1mil	","T	","180	","Yes	","120	"
"Q1	","Transistor_PMOSFET_SOT23	","SOT23	","207.3mil	","337.4mil	","207.3mil	","337.4mil	","169.9mil	","294.1mil	","T	","0	","Yes	","PMOSFET	"
"R7	",,"0402-R	","193.8mil	","221.1mil	","193.8mil	","221.1mil	","176.1mil	","221.1mil	","T	","0	","Yes	","10k	"
"Q2	","Transistor_NMOSFET_SOT23	","SOT23	","338.7mil	","336.1mil	","338.7mil	","336.1mil	","301.3mil	","292.8mil	","T	","0	","Yes	","NMOSFET	"
"R8	",,"0402-R	","322.6mil	","224.1mil	","322.6mil	","224.1mil	","340.3mil	","224.1mil	","T	","180	","Yes	","10k	"
"R9	",,"0402-R	","976.6mil	","381.7mil	","976.6mil	","381.7mil	","976.6mil	","364mil	","T	","90	","Yes	","10k	"
"R10	",,"0402-R	","1175.5mil	","390.5mil	","1175.5mil	","390.5mil	","1175.5mil	","408.2mil	","T	","270	","Yes	","10k	"
"R5	",,"0402-R	","163.9mil	","937.4mil	","163.9mil	","937.4mil	","146.2mil	","937.4mil	","T	","0	","Yes	","120	"
"SJ1	","jumper_SJ_	","SJ	","163.9mil	","1037.1mil	","163.9mil	","1037.1mil	","163.9mil	","1067.1mil	","B	","270	","Yes	","jumper_SJ_	"
"SJ2	","jumper_SJ_	","SJ	","164.9mil	","1234.9mil	","164.9mil	","1234.9mil	","164.9mil	","1204.9mil	","B	","90	","Yes	","jumper_SJ_	"
"J2	","SparkFun-Connectors_CONN_02_	","1X02	","67.7mil	","118.9mil	","67.7mil	","168.9mil	","67.7mil	","168.9mil	","T	","270	","No	","SparkFun-Connectors_CONN_02_	"
"J3	","SparkFun-Connectors_CONN_02_	","1X02	","67.7mil	","345.5mil	","67.7mil	","395.5mil	","67.7mil	","395.5mil	","T	","270	","No	","SparkFun-Connectors_CONN_02_	"
"J4	","SparkFun-Connectors_CONN_02_	","1X02	","68.1mil	","649.6mil	","68.1mil	","599.6mil	","68.1mil	","599.6mil	","T	","90	","No	","SparkFun-Connectors_CONN_02_	"
"J5	","SparkFun-Connectors_CONN_04_	","1X04	","65.7mil	","1132mil	","65.7mil	","982mil	","65.7mil	","982mil	","T	","90	","No	","SparkFun-Connectors_CONN_04_	"
"J6	","SparkFun-Connectors_CONN_05_1.27MM	","1X05_1.27MM	","1282.5mil	","640.3mil	","1282.5mil	","540.3mil	","1282.5mil	","540.3mil	","T	","90	","No	","SparkFun-Connectors_CONN_05_1.27MM	"
